Word,Synonyms,Antonyms,Causes,Caused_By,Category
decide,"determine,resolve,settle on,choose,make decision","postpone,defer,waver,hesitate",decision made,"deliberation,options,necessity,analysis",DECIDING
determine,"decide,resolve,establish,ascertain,fix","waver,hesitate,uncertain,undecided",conclusion reached,"evidence,analysis,investigation,intention",DECIDING
resolve,"decide firmly,settle,determine,conclude,commit","waver,hesitate,postpone,defer",firm decision made,"conviction,determination,necessity,analysis",DECIDING
settle,"decide finally,establish,agree,conclude,resolved","reopen,reconsider,change,dispute",settled decision,"negotiation,agreement,resolution,finality",DECIDING
conclude,"decide finally,determine,infer,finish,reach judgment","begin,start,open,question,doubt",conclusion reached,"analysis,evidence,reasoning,completion",DECIDING
establish,"determine,prove,set up,confirm,create","destroy,overthrow,overturn,question",established fact/decision,"evidence,proof,intention,authority",DECIDING
judge,"form opinion,evaluate,determine,assess,sentence","refuse,withhold,uncertain,suspend",judgment formed,"evidence,experience,criteria,reasoning",DECIDING
assess,"evaluate,judge,appraise,estimate,determine value","ignore,overlook,guess,estimate vaguely",assessment completed,"evidence,criteria,analysis,knowledge",DECIDING
evaluate,"judge,assess,appraise,determine worth,examine","ignore,overlook,guess,dismiss",evaluation completed,"criteria,analysis,measurement,evidence",DECIDING
make up one's mind,"decide,resolve,commit,determine,finalize","waver,hesitate,postpone,defer",decision made final,"deliberation,conviction,necessity,determination",DECIDING
commit,"decide firmly,pledge,dedicate,obligate,bind","abandon,renege,escape,evade",commitment made,"conviction,determination,intention,pledge",DECIDING
commit to,"dedicate to,decide for,pledge to,bind to","abandon,renege,escape,avoid",committed decision,"conviction,pledge,intention,determination",DECIDING
finalize,"complete,conclude,decide finally,finish,settle","leave open,reopen,continue,defer",final decision,"analysis,agreement,determination,completion",DECIDING
choose,"select,pick,decide,opt for,prefer","reject,refuse,decline,avoid",selection made,"preference,options,judgment,criteria",CHOOSING
select,"choose,pick,decide on,elect,designate","reject,refuse,decline,exclude",selection made,"criteria,judgment,preference,intention",CHOOSING
pick,"choose,select,decide,opt for,choose casually","reject,refuse,decline,avoid",selection made,"preference,inclination,casualness,opportunity",CHOOSING
pick out,"select from,identify,recognize,notice,choose","miss,overlook,ignore,confuse",selection identified,"observation,preference,recognition,judgment",CHOOSING
opt,"choose,select,decide on,prefer,elect","reject,refuse,decline,avoid",choice made,"preference,evaluation,judgment,intention",CHOOSING
opt for,"choose,select,prefer,decide on,go with","reject,refuse,decline,avoid",preference chosen,"evaluation,preference,judgment,intention",CHOOSING
go for,"choose,select,prefer,opt for,decide on","reject,refuse,decline,avoid",choice made,"preference,appeal,judgment,attraction",CHOOSING
prefer,"like better,choose over,favor,select,incline towards","reject,avoid,dislike,disfavor",preference expressed,"taste,evaluation,comparison,judgment",CHOOSING
prefer...to,"like...better,choose...over,favor...over","prefer...to reverse,dislike,avoid",preference established,"comparison,judgment,taste,evaluation",CHOOSING
election,"selection by voting,choice,decision process","non-selection,rejection,random assignment",selection decided,"voting,preference,nomination,choice",CHOOSING
elect,"choose by vote,select,decide,pick,appoint","reject,refuse,decline,exclude",elected selection,"voting,choice,nomination,preference",CHOOSING
designate,"specify,choose,appoint,select,name","reject,refuse,decline,ignore",designation made,"authority,selection,intention,decision",CHOOSING
single out,"choose from group,identify,select,distinguish","overlook,ignore,miss,group with",selection distinguished,"observation,preference,distinction,judgment",CHOOSING
cherry-pick,"selectively choose,pick carefully,discriminate","accept all,indiscriminate,random selection",selective choice made,"judgment,criteria,discrimination,preference",CHOOSING
focus,"concentrate attention,direct,center,zero in on","distract,divert,scatter,disperse",attention focused,"intention,interest,priority,determination",FOCUSING
concentrate,"focus attention,center,direct,apply mind","distract,disperse,scatter,wander",concentrated attention,"effort,intention,determination,priority",FOCUSING
focus on,"direct attention to,concentrate on,prioritize","ignore,overlook,distract from,scatter",attention directed,"intention,interest,priority,importance",FOCUSING
concentrate on,"focus on,direct attention to,prioritize,apply to","ignore,overlook,distract,scatter",attention applied,"effort,intention,priority,importance",FOCUSING
attend,"pay attention,focus,concentrate,listen,mind","ignore,neglect,overlook,disregard",attention given,"interest,awareness,respect,obligation",FOCUSING
attend to,"focus on,take care of,address,handle,mind","ignore,neglect,overlook,abandon",attention given to,"responsibility,importance,care,obligation",FOCUSING
zero in on,"focus on,concentrate on,target,home in on","miss,overlook,ignore,scatter",focus narrowed,"intention,priority,targeting,determination",FOCUSING
hone in on,"focus on,target,narrow focus,concentrate on","miss,scatter,distract,broaden",focus sharpened,"intention,targeting,determination,priority",FOCUSING
home in on,"focus on,target,move towards,zero in on","miss,divert,scatter,abandon",target approached,"intention,targeting,determination,precision",FOCUSING
center on,"focus on,concentrate on,pivot around,emphasize","scatter,divert,ignore,overlook",center established,"priority,emphasis,intention,focus",FOCUSING
center around,"focus on,pivot around,revolve around,emphasize","scatter,divert,ignore,overlook",center established,"priority,organization,emphasis,structure",FOCUSING
fixate,"focus excessively,obsess,dwell on,preoccupy","ignore,neglect,overlook,disperse",fixed focus,"obsession,preoccupation,fascination,intensity",FOCUSING
fixate on,"obsess over,focus excessively on,dwell on","ignore,neglect,overlook,release",obsessive focus,"obsession,fixation,preoccupation,intensity",FOCUSING
rivet,"capture attention,hold,fascinate,absorb,focus","release,bore,distract,lose attention",attention riveted,"fascination,interest,intensity,captivation",FOCUSING
rivet attention,"capture focus,hold focus,fascinate,absorb","lose attention,release,bore,distract",attention captured,"fascination,interest,intensity,power",FOCUSING
engross,"absorb attention,fascinate,engage,preoccupy","bore,distract,release,tire",attention engrossed,"interest,fascination,complexity,engagement",FOCUSING
apply oneself,"focus effort,concentrate,dedicate,commit","neglect,avoid,distract,withdraw",effort applied,"intention,commitment,determination,priority",FOCUSING
notice,"observe,perceive,see,detect,become aware","overlook,miss,ignore,neglect",observation made,"attention,perception,presence,change",FOCUSING
observe,"watch,see,perceive,notice,scrutinize","ignore,overlook,miss,neglect",observation made,"attention,perception,watchfulness,interest",FOCUSING
perceive,"notice,see,sense,discern,become aware","miss,overlook,ignore,blind to",perception formed,"sensory input,awareness,attention,understanding",FOCUSING
detect,"discover,notice,find,uncover,sense","miss,overlook,hide,conceal",detection made,"observation,perception,investigation,evidence",FOCUSING
spot,"notice,see,observe,locate,identify","miss,overlook,fail to see,ignore",location spotted,"observation,perception,attention,presence",FOCUSING
catch,"notice,see,observe,apprehend,discover","miss,overlook,fail to see,escape",discovery made,"attention,observation,perception,luck",FOCUSING
catch sight of,"notice suddenly,see,observe,glimpse,spot","miss,overlook,fail to see,ignore",sight caught,"observation,chance,attention,presence",FOCUSING
eye,"look at,observe,watch,examine,scrutinize","ignore,overlook,look away,dismiss",examination given,"observation,interest,suspicion,attention",FOCUSING
watch,"observe,see,pay attention,keep eye on,monitor","ignore,overlook,disregard,neglect",observation made,"attention,care,interest,vigilance",FOCUSING
scan,"examine quickly,look over,survey,peruse,review","ignore,skip,overlook,miss",scan completed,"attention,speed,overview,searching",FOCUSING
scrutinize,"examine closely,inspect,study,investigate","ignore,overlook,glance,casual look",close examination,"attention,suspicion,thoroughness,care",FOCUSING
study,"examine carefully,investigate,learn,analyze","ignore,overlook,skim,superficial",study completed,"interest,knowledge-seeking,attention,intention",FOCUSING
take notice,"observe,pay attention,become aware,note","ignore,overlook,miss,disregard",notice taken,"awareness,attention,importance,change",FOCUSING
ignore,"disregard,overlook,pay no attention to,dismiss","notice,attend to,acknowledge,respect",attention withheld,"intent,indifference,dismissal,defiance",IGNORING
overlook,"fail to notice,disregard,ignore,pass over","notice,observe,attend,acknowledge",attention bypassed,"oversight,carelessness,indifference,speed",IGNORING
neglect,"fail to care for,disregard,ignore,abandon","care for,attend to,cherish,nurture",care withheld,"carelessness,indifference,negligence,failure",IGNORING
disregard,"ignore,dismiss,pay no attention to,overlook","respect,consider,acknowledge,attend to",attention dismissed,"indifference,dismissal,contempt,intent",IGNORING
overlook,"ignore,disregard,excuse,forgive,pass over","punish,condemn,focus on,address",error passed over,"generosity,oversight,carelessness,forgiveness",IGNORING
dismiss,"reject,disregard,send away,brush off,overlook","consider,respect,attend to,take seriously",dismissal made,"judgment,authority,disrespect,intent",IGNORING
brush aside,"dismiss,ignore,disregard,minimize,wave away","address,attend to,respect,consider",matter dismissed,"impatience,dismissal,indifference,contempt",IGNORING
brush off,"dismiss,ignore,reject,snub,disregard","welcome,attend to,respect,acknowledge",dismissal made,"rudeness,dismissal,contempt,impatience",IGNORING
tune out,"ignore,stop listening,disregard,block out","listen,attend,focus,engage",attention blocked,"distraction,indifference,selectivity,overload",IGNORING
shut out,"exclude,ignore,block,disregard,lock out","include,acknowledge,listen,consider",exclusion made,"rejection,indifference,protection,defense",IGNORING
turn a blind eye,"deliberately ignore,disregard,overlook,connive","notice,observe,act on,expose",deliberate ignoring,"complicity,negligence,indifference,intent",IGNORING
turn a deaf ear,"ignore,refuse to listen,disregard,dismiss","listen,hear,heed,attend",refusal to hear,"defiance,indifference,dismissal,stubbornness",IGNORING
pay no heed,"ignore,disregard,dismiss,overlook,neglect","heed,attend,listen,respect",attention withheld,"indifference,defiance,dismissal,contempt",IGNORING
pay no mind,"ignore,disregard,dismiss,overlook,neglect","mind,attend,listen,heed",attention withheld,"indifference,dismissal,contempt,nonchalance",IGNORING
distract,"divert attention,divert,draw away,interrupt","focus,concentrate,attend,engage",attention diverted,"interruption,interference,noise,temptation",IGNORING
