Word,Synonyms,Antonyms,Causes,Caused_By,Category,Interconnections
accept,"receive, embrace, approve, consent","reject, refuse, decline, deny","relationship acceptance, agreement, bonding","approval, choice, values",BONDING,3
admire,"respect, esteem, revere, idolize","despise, disrespect, scorn, mock","emotional connection, positive regard, motivation","achievement, character, qualities",BONDING,1
adore,"love, revere, idolize, worship","despise, hate, loathe, detest","deep affection, admiration, emotional connection","qualities, performance, attraction",BONDING,1
befriend,"make friends, bond, connect, associate","shun, avoid, reject, exclude","friendship formation, social connection, relationship","similarity, mutual interest, proximity",BONDING,0
cherish,"treasure, value, hold dear, prize","discard, disregard, despise, neglect","emotional preservation, affection display, bonding","love, appreciation, importance",BONDING,1
comfort,"console, soothe, ease, reassure","distress, upset, agitate, torment","emotional relief, peace, healing","empathy, care, emotional connection",BONDING,0
embrace,"hug, hold, accept, welcome","reject, push away, exclude, spurn","physical/emotional closeness, acceptance, affection","love, greeting, acceptance",BONDING,3
learn,"study, understand, discover, acquire","forget, unlearn, ignore, neglect","knowledge acquisition, growth, development","teaching, experience, study",BONDING,0
like,"enjoy, appreciate, prefer, favor","dislike, hate, despise, loathe","positive regard, preference, enjoyment","similarity, positive interaction, attraction",BONDING,0
love,"adore, cherish, treasure, devotion","hate, despise, loathe, detest","emotional attachment, intimate connection, commitment","affection, shared values, attraction",BONDING,1
marry,"wed, unite, join, betroth","divorce, separate, break up, annul","legal union, commitment, family formation","love, social obligation, legal intent",BONDING,0
mentor,"guide, coach, advise, teach","mislead, abandon, ignore, neglect","skill development, knowledge transfer, growth","expertise, responsibility, care",BONDING,0
nurture,"care for, support, foster, develop","neglect, abandon, starve, deprive","growth, development, emotional security","parental/mentor instinct, love, responsibility",BONDING,0
respect,"honor, admire, esteem, value","disrespect, insult, despise, demean","hierarchy acknowledgment, deference, relationship quality","virtue, achievement, character",BONDING,2
support,"help, aid, assist, sustain","undermine, betray, abandon, sabotage","emotional/physical assistance, stability, empowerment","care, loyalty, responsibility",BONDING,1
teach,"instruct, educate, train, coach","ignore, withhold, mislead, confuse","knowledge acquisition, skill development, learning","expertise, educational intent, responsibility",BONDING,1
trust,"believe, rely on, confide, depend","distrust, doubt, suspect, question","relationship security, vulnerability, openness","reliability, consistency, honesty",BONDING,0
abandon,"desert, forsake, leave, discard","support, stay, commit, embrace","relationship termination, betrayal, harm","choice, fear, disinterest",CONFLICT,2
accuse,"blame, charge, allege, indict","exonerate, absolve, forgive, excuse","guilt assignment, conflict, defense attack","perceived wrongdoing, evidence, anger",CONFLICT,1
argue,"quarrel, debate, dispute, contend","agree, concur, harmonize, cooperate","conflict escalation, position assertion, emotion","disagreement, values clash, competition",CONFLICT,1
betray,"deceive, double-cross, abandon, reveal","support, loyalty, faithfulness, protect","trust breach, relationship damage, conflict","self-interest, fear, disrespect",CONFLICT,0
blame,"accuse, fault, censure, criticize","forgive, excuse, pardon, absolve","guilt assignment, conflict, responsibility claim","wrongdoing, frustration, accountability",CONFLICT,1
challenge,"confront, defy, question, dispute","accept, agree, concede, submit","conflict escalation, authority questioning, test","disagreement, confidence, provocation",CONFLICT,1
despise,"hate, loathe, detest, abhor","love, respect, admire, cherish","emotional rejection, distance, antagonism","perceived inferiority, betrayal, values clash",CONFLICT,2
dislike,"hate, detest, loathe, despise","like, love, enjoy, appreciate","emotional rejection, avoidance, distance","negative experience, personality clash, values",CONFLICT,0
disobey,"defy, rebel, resist, violate","obey, comply, follow, submit","authority challenge, control assertion, conflict","disagreement, autonomy assertion, disrespect",CONFLICT,0
envy,"begrudge, covet, resent, desire","celebrate, congratulate, appreciate, admire","resentment, desire, jealousy, conflict","comparison, deprivation, inferior status",CONFLICT,0
fight,"battle, combat, struggle, conflict","peace, harmony, cooperate, reconcile","injury, dominance, fear, dispute resolution attempt","disagreement, provocation, defense",CONFLICT,0
