Word,Synonyms,Antonyms,Causes,Caused_By,Category
grasp,"grip, clutch, grab, seize","release, drop, loosen, let go","object control, possession, handhold security","prehension intent, object presence, acquisition desire",GRASPING
grip,"grasp, clutch, hold, clench","release, slacken, loosen, unclasp","object securing, force exertion, control establishment","stabilization need, force application, control intent",GRASPING
clutch,"grasp, grip, seize, snatch","release, drop, relinquish, let go","desperate holding, object retention","fear, urgency, possession security",GRASPING
hold,"grasp, grip, keep, retain","release, drop, surrender, relinquish","possession maintenance, object control, position security","ownership, control desire, retention intent",GRASPING
clasp,"grip, grasp, embrace, clutch","unclasp, release, open, unlock","secure holding, affectionate contact","affection, security need, connection desire",GRASPING
clench,"grip, squeeze, tighten, gnarl","relax, open, loosen, unclench","tension manifestation, force exertion, anger display","anger, determination, muscle contraction",GRASPING
squeeze,"compress, press, clench, constrict","release, expand, loosen, open","compression, liquid extraction, pressure application","force application, compression intent, extraction desire",GRASPING
pinch,"squeeze, compress, nip, tweak","release, spread, expand, open","small object grasping, pain causation, compression","small object handling, attention seeking, force application",GRASPING
seize,"grasp, grab, snatch, catch","release, free, liberate, relinquish","forceful capture, object control, possession","capture intent, urgency, aggression",GRASPING
snatch,"grab, seize, snatch, take","give, return, relinquish, release","quick acquisition, theft, possession","opportunism, urgency, theft intent",GRASPING
grab,"seize, grasp, snatch, clutch","release, drop, let go, relinquish","object acquisition, quick capture, control","sudden opportunity, urgency, capture intent",GRASPING
catch,"grab, seize, capture, snatch","miss, drop, release, let escape","object capture, momentum interruption, acquisition","object motion, capture intent, quick reaction",GRASPING
clamp,"grip, squeeze, hold fast, clench","release, unclasp, loosen, open","vice-like holding, compression, securing","stabilization need, force application, securing intent",GRASPING
embrace,"hug, clasp, hold, enfold","release, let go, push away, separate","affectionate contact, encirclement, body contact","affection, greeting, emotional expression",GRASPING
grapple,"grip, seize, struggle, wrestle","release, surrender, disengage, separate","physical struggle, object wrestling, control attempt","conflict, wrestling, combat intent",GRASPING
clutches,"grasp, grip, control, possession","freedom, release, escape, liberty","possession control, power exertion","predation, possession, control desire",GRASPING
push,"shove, thrust, press, drive","pull, drag, draw, haul","object displacement, force application, momentum transfer","force application, propulsion intent, directional need",PUSHING/PULLING
pull,"draw, drag, haul, tug","push, shove, thrust, drive","object attraction, directional motion, force transfer","attraction intent, force application, extraction desire",PUSHING/PULLING
drag,"pull, draw, haul, tow","push, thrust, release, drop","ground contact movement, friction opposition, slow motion","heavy load, low friction, sustained force",PUSHING/PULLING
tow,"drag, haul, pull, draw","release, drop, push, abandon","vehicle transportation, load movement, distance coverage","vehicle capability, load presence, transportation need",PUSHING/PULLING
haul,"drag, tow, pull, transport","drop, release, abandon, discard","heavy load movement, distance transportation, effort","heavy weight, transportation need, sustained effort",PUSHING/PULLING
tug,"pull, yank, jerk, draw","push, release, let go, slacken","sudden jerk, object movement, attention getting","attention seeking, force application, urgency",PUSHING/PULLING
yank,"pull, jerk, tug, snatch","push, release, insert, ease","sudden extraction, violent pulling, rapid movement","extraction intent, urgency, violent motion",PUSHING/PULLING
shove,"push, thrust, drive, force","pull, drag, gentle push, nudge gently","forceful displacement, aggression expression, rapid movement","aggression, urgency, forceful intent",PUSHING/PULLING
thrust,"push, shove, drive, force","pull, withdraw, retract, extract","forceful driving, object penetration, force application","penetration intent, force application, urgency",PUSHING/PULLING
heave,"pull, haul, lift, throw","drop, release, ease, gentle handling","heavy object movement, effort display, distance coverage","heavy weight, strength exertion, effort intent",PUSHING/PULLING
draw,"pull, drag, attract, sketch","push, repel, erase, remove","object attraction, line creation, force transfer","attraction intent, illustration desire, pulling force",PUSHING/PULLING
extract,"pull, draw, remove, take out","insert, push in, embed, place","object removal, separation, extraction completion","removal intent, extraction need, force application",PUSHING/PULLING
pry,"lever, extract, force open, prize","close, seal, insert, embed","forced opening, object extraction, leverage application","opening intent, extraction need, leverage intent",PUSHING/PULLING
wrench,"twist, pull, jerk, yank","align, straighten, insert, relax","twisting extraction, violent pulling, force application","extraction intent, force application, violent motion",PUSHING/PULLING
throw,"toss, hurl, fling, cast","catch, hold, keep, retain","object flight, distance coverage, projectile motion","propulsion intent, object release, force application",THROWING
toss,"throw, fling, flip, cast","catch, hold, secure, clamp","light object flight, arc trajectory, playful motion","casual throwing, playfulness, light object",THROWING
hurl,"throw, fling, cast, propel","catch, hold, embrace, secure","forceful projectile, distance achievement, violent motion","anger, force application, violent intent",THROWING
fling,"throw, hurl, cast, sling","catch, hold, embrace, clutch","object flight, rapid motion, wild throwing","emotional state, forceful release, wild motion",THROWING
cast,"throw, toss, fling, hurl","catch, collect, gather, retrieve","object flight, fishing motion, election participation","fishing intent, voting action, throwing impulse",THROWING
pitch,"throw, toss, hurl, lob","catch, hold, receive, keep","baseball flight, object projection, distance coverage","sport intent, throwing skill, release force",THROWING
lob,"throw, toss, arc, loft","catch, stop, block, intercept","high arc trajectory, distance coverage, soft landing","arc intent, gentle throwing, distance goal",THROWING
launch,"throw, propel, send, release","catch, hold, retrieve, recover","projectile motion, object initiation, distance travel","launch intent, propulsion mechanism, release trigger",THROWING
catapult,"throw, launch, propel, fling","catch, stop, brake, slow","rapid projectile, high velocity, sudden motion","catapult mechanism, forceful release, launch system",THROWING
propel,"push, drive, launch, impel","brake, stop, arrest, hold","object motion, force transfer, directional movement","force application, propulsion intent, driving mechanism",THROWING
sling,"throw, hurl, fling, cast","catch, hold, secure, keep","object flight, sling-based propulsion, distance coverage","sling use, throwing force, projectile intent",THROWING
chuck,"throw, toss, fling, hurl","catch, hold, keep, retrieve","casual throwing, object flight, discard","casual intent, object disposal, light throwing",THROWING
