Word,Synonyms,Antonyms,Causes,Caused_By,Category
born,"delivered,brought forth,emerge,arrive,born","die,perish,cease,abort",new life begins,"conception,pregnancy,labor,genetics",BIRTH
birth,"deliver,bring forth,bear,hatch,beget","abort,miscarry,fail",offspring delivered,"pregnancy,labor,genetics,intention",BIRTH
emerge,"come forth,appear,hatch,develop from,break through","hide,withdraw,disappear",appearance from previous state,"development,breaking point,readiness",BIRTH
hatch,"emerge from egg,break shell,incubate completion","keep enclosed,prevent emergence",young emerges from egg,"warmth,incubation,development,time",BIRTH
spawn,"produce eggs,generate offspring,breed,create","abort,fail,cease",offspring produced,"reproduction,mating,biology,genetics",BIRTH
come into being,"exist start,form,originate,begin","perish,cease,disappear",existence started,"conception,creation,genesis,time",BIRTH
originate,"begin,arise,start,come from,trace back","end,cease,perish,end",origin/source established,"genesis,creation,causation,time",BIRTH
commence,"begin,start,initiate,open,launch","end,cease,conclude,finish",beginning marked,"intention,trigger,decision,time",BIRTH
inception,"beginning,start,origin,genesis,outset","end,conclusion,termination,finale",process initiated,"conception,trigger,creation,time",BIRTH
initiate,"start,begin,commence,launch,open","conclude,finish,end,terminate",process begun,"intention,decision,trigger,authority",BIRTH
grow,"increase,develop,expand,enlarge,mature","shrink,decrease,decline,diminish",size/capacity increased,"nutrition,time,genetics,conditions",GROWTH
develop,"grow,mature,unfold,evolve,progress","regress,decline,stop,stagnate",capabilities expanded,"time,genetics,environment,learning",GROWTH
expand,"grow,increase,enlarge,extend,spread","contract,shrink,diminish,reduce",size increased,"pressure,growth,abundance,time",GROWTH
enlarge,"expand,increase,magnify,amplify,swell","shrink,reduce,compress,diminish",size increased,"growth,addition,expansion,time",GROWTH
extend,"expand,stretch,reach,spread,prolong","contract,shorten,limit,restrict",range/duration increased,"growth,intention,pulling force,time",GROWTH
spread,"expand,extend,distribute,scatter,proliferate","contract,concentrate,gather,limit",area covered increased,"growth,diffusion,multiplication,time",GROWTH
increase,"grow,expand,amplify,augment,raise","decrease,reduce,diminish,lower",quantity expanded,"addition,accumulation,growth,time",GROWTH
swell,"expand,enlarge,puff up,distend,bulge","shrink,deflate,contract,reduce",volume increased,"filling,growth,pressure,inflation",GROWTH
proliferate,"multiply,expand,increase rapidly,spread,flourish","decline,reduce,stagnate,diminish",rapid multiplication,"growth,reproduction,favorable conditions,time",GROWTH
