Word,Synonyms,Antonyms,Causes,Caused_By,Category
influence,"affect,sway,impact,shape,persuade","independent,unaffected,immune,resist,oppose",behavior/belief changed,"power,authority,persuasion,proximity",INFLUENCING
affect,"alter,change,touch,impact,influence","unaffected,unchanged,independent,resistant",emotional/state change,"stimulus,circumstance,event,action",AFFECTING
impact,"affect,influence,strike,hit,impress","miss,unaffected,bounce off,no effect",significant effect created,"force,collision,importance,weight",AFFECTING
shape,"form,mold,influence,determine,fashion","unformed,random,chaotic,unchanged,original",form determined,"intention,force,design,skill",INFLUENCING
mold,"shape,influence,form,fashion,sculpt","unformed,destroy,break,unmold,release",molded form,"pressure,design,intention,material",INFLUENCING
sway,"influence,persuade,move,convince,bend","steady,firm,unmoved,resistant,fixed",opinion/belief changed,"persuasion,evidence,emotion,pressure",INFLUENCING
bias,"prejudice,skew,influence unfairly,slant,tilt","impartial,fair,unbiased,neutral,balanced",prejudiced thinking,"prejudice,stereotype,favoritism,intent",INFLUENCING
skew,"bias,distort,tilt,slant,prejudice","straighten,fair,unbiased,balanced,true",distorted view,"prejudice,intentional distortion,bias",INFLUENCING
slant,"bias,skew,tilt,lean,angle toward","balance,fair,neutral,perpendicular,true",biased perspective,"prejudice,intent,presentation,angle",INFLUENCING
bend,"influence,persuade,curve,flex,shape","straighten,resist,unbend,firm,fixed",curved/changed form,"force,persuasion,pressure,flexibility",INFLUENCING
sway to,"persuade toward,influence toward,bend to","resist,oppose,maintain,steadfast,firm",persuaded action,"persuasion,argument,emotion,pressure",INFLUENCING
prejudice,"bias,influence against,predispose,jaundice","fair,neutral,unbiased,open-minded,objective",biased opinion formed,"stereotype,previous experience,bias,intent",INFLUENCING
predispose,"influence toward,incline toward,dispose,bias","neutral,objective,unbiased,open-minded",inclination toward formed,"nature,experience,tendency,bias",INFLUENCING
incline,"persuade toward,dispose toward,lean toward","repel,discourage,disincline,contrary",inclination shown,"tendency,persuasion,appeal,similarity",INFLUENCING
dispose,"incline,predispose,influence,arrange, prepare","indispose,arrange otherwise,contrary,resist",disposition formed,"nature,experience,bias,circumstance",INFLUENCING
govern,"control,regulate,influence,rule,direct","rebel,free,uncontrolled,chaotic,lawless",control established,"authority,law,intention,force",INFLUENCING
regulate,"control,govern,adjust,manage,influence","unregulated,wild,chaotic,free,uncontrolled",controlled state,"law,authority,intention,mechanism",INFLUENCING
manipulate,"control,influence unfairly,exploit,manage, handle","liberate,honest,fair,direct,transparent",behavior controlled deceptively,"cunning,deception,psychology,intent",INFLUENCING
control,"govern,regulate,manage,direct,dominate","rebel,free,loose,uncontrolled,escape",control established,"power,authority,force,intention",INFLUENCING
direct,"guide,influence,manage,control,steer","follow,obey,abandon guidance,opposite",direction given,"authority,knowledge,intention,power",INFLUENCING
guide,"direct,lead,influence,steer,shepherd","mislead,abandon, follow,opposite guidance",guidance provided,"knowledge,intention,direction,authority",INFLUENCING
steer,"guide,direct,influence,navigate,manage","lose control,stray,random,chaotic,wander",direction steered,"control,intention,knowledge,skill",INFLUENCING
