Word,Synonyms,Antonyms,Causes,Caused_By,Category
improve,"enhance, better, upgrade, advance","worsen, deteriorate, degrade, decline","effort, resources, skill, intention","motivation, investment, skill, action",IMPROVEMENT
enhance,"improve, augment, strengthen, amplify","diminish, reduce, weaken, decrease","addition, modification, optimization","intention, resources, capability",IMPROVEMENT
better,"improve, enhance, upgrade, refine","worsen, deteriorate, decline, degrade","effort, change, optimization","intention, effort, resources",IMPROVEMENT
upgrade,"improve, enhance, elevate, advance","downgrade, reduce, diminish, lower","investment, replacement, advancement","decision, resources, need",IMPROVEMENT
advance,"improve, progress, evolve, develop","regress, decline, retreat, backslide","innovation, effort, development","progress, learning, investment",IMPROVEMENT
refine,"improve, polish, perfect, enhance","coarsen, crude, degrade, worsen","precision, attention to detail, skill","skill, care, iteration",IMPROVEMENT
perfect,"refine, polish, complete, finalize","mar, damage, spoil, worsen","precision, effort, skill","dedication, skill, iteration",IMPROVEMENT
strengthen,"fortify, harden, reinforce, toughen","weaken, soften, diminish, reduce","exercise, materials, reinforcement","effort, training, resources",IMPROVEMENT
fortify,"strengthen, reinforce, harden, secure","weaken, soften, undermine, expose","reinforcement, materials, design","threat, need, strategy",IMPROVEMENT
reinforce,"strengthen, harden, fortify, brace","weaken, diminish, reduce, expose","addition, support, reinforcement","need, design, safety",IMPROVEMENT
augment,"increase, enhance, expand, amplify","decrease, reduce, diminish, limit","addition, expansion, growth","need, resources, decision",IMPROVEMENT
amplify,"strengthen, enhance, magnify, expand","diminish, reduce, muffle, weaken","increase, emphasis, technology","intention, capability, amplification",IMPROVEMENT
brighten,"illuminate, lighten, shine, glow","darken, dim, dull, shadow","light, cleaning, polish","illumination, cleaning, reflection",IMPROVEMENT
lighten,"brighten, illuminate, reduce weight, ease","darken, dim, burden, weight","removal, reduction, light","subtraction, cleaning, illumination",IMPROVEMENT
sharpen,"hone, whet, refine, focus","dull, blunt, blur, soften","friction, honing, intention","grinding, sharpening tool, effort",IMPROVEMENT
hone,"sharpen, whet, refine, perfect","dull, blunt, coarsen, degrade","practice, refinement, iteration","effort, practice, skill",IMPROVEMENT
whet,"sharpen, hone, stimulate, excite","dull, blunt, diminish, satisfy","friction, stimulation, desire","sharpening, stimulation, appetite",IMPROVEMENT
polish,"shine, buff, refine, perfect","tarnish, dull, scratch, degrade","friction, abrasive, intention","effort, materials, skill",IMPROVEMENT
buff,"polish, shine, smooth, refine","scratch, mar, dull, tarnish","friction, buffing material, effort","abrasive action, intention, skill",IMPROVEMENT
shine,"brighten, gleam, glow, sparkle","dull, tarnish, darken, shadow","reflection, polish, light","polishing, reflection, illumination",IMPROVEMENT
gleam,"shine, sparkle, glow, flash","dull, tarnish, fade, darken","reflection, polish, light","reflection, cleanliness, illumination",IMPROVEMENT
sparkle,"shine, glitter, glimmer, twinkle","dull, tarnish, fade, dim","reflection, cleanliness, light","reflection, polish, illumination",IMPROVEMENT
clean,"wash, cleanse, purify, sanitize","dirty, soil, contaminate, pollute","dirt removal, hygiene, intent","washing, cleaning action, effort",IMPROVEMENT
cleanse,"clean, purify, wash, sanitize","contaminate, pollute, soil, dirty","removal, purification, hygiene","washing, purification action, care",IMPROVEMENT
purify,"cleanse, refine, filter, distill","contaminate, pollute, mix, taint","filtration, refinement, separation","filtering, distillation, separation",IMPROVEMENT
sanitize,"clean, disinfect, sterilize, decontaminate","contaminate, infect, pollute, soil","disinfection, sterilization, hygiene","chemical treatment, sterilization, heat",IMPROVEMENT
