Word,Synonyms,Antonyms,Causes,Caused_By,Category
detect,"discover,notice,perceive,sense,discern","miss,overlook,ignore,hide,conceal",discovery made,"observation,perception,evidence,signs",DETECTING
sense,"perceive,feel,detect,intuit,become aware","miss,ignore,overlook,oblivious,blind",sensory awareness,"intuition,perception,signals,experience",DETECTING
perceive,"notice,sense,see,become aware,discern","miss,overlook,ignore,blind to,oblivious",perception formed,"sensory input,awareness,attention,evidence",DETECTING
discern,"distinguish,perceive,detect,see clearly,recognize","confuse,overlook,miss,blur,indistinct",distinction made,"perception,observation,clarity,contrast",DETECTING
recognize,"identify,acknowledge,know,realize,detect","fail to recognize,mistake,confused,deny",recognition made,"familiarity,knowledge,observation,memory",DETECTING
identify,"recognize,determine,name,establish,pinpoint","confuse,mistake,unknown,anonymous",identification made,"observation,knowledge,comparison,evidence",DETECTING
identify with,"recognize similarity,relate to,understand,empathize","differ from,distinguish,contrast,separate",identification established,"similarity,empathy,understanding,relation",DETECTING
diagnose,"identify cause,determine condition,recognize problem","misdiagnose,miss,overlook,guess,wrong",diagnosis established,"symptoms,examination,knowledge,expertise",DETECTING
pinpoint,"identify exactly,locate precisely,determine exact location","vague,approximate,general,miss,overlook",exact location found,"precision,evidence,analysis,investigation",DETECTING
spot,"notice,see,detect,observe,locate quickly","miss,overlook,ignore,fail to see,hide",location spotted,"observation,perception,attention,presence",DETECTING
catch,"notice,see,observe,discover,apprehend","miss,overlook,escape,evade,hide",discovery made,"attention,observation,perception,luck",DETECTING
catch sight of,"notice,see suddenly,glimpse,observe,spot","miss,overlook,ignore,fail to see,hide",sight caught,"chance,observation,presence,attention",DETECTING
make out,"perceive,distinguish,see clearly,understand,decipher","blur,confuse,misunderstand,miss,overlook",perception clarified,"effort,clarity,focus,contrast",DETECTING
make out,"discern with difficulty,barely see,understand,decipher","miss,overlook,unclear,confused,indistinct",unclear perception clarified,"effort,attention,difficulty,contrast",DETECTING
espy,"catch sight of,see,discover,notice,observe","miss,overlook,fail to see,ignore,hide",sight espied,"observation,chance,vigilance,attention",DETECTING
descry,"catch sight of from distance,see,discover,perceive","miss,overlook,fail to see,near,ignore",distant object seen,"distance,effort,attention,clarity",DETECTING
glimpse,"see briefly,catch sight of,perceive partially,quick look","miss,overlook,ignore,full view,ignore",brief sight caught,"chance,speed,partial vision,attention",DETECTING
smell,"detect odor,perceive scent,sense,discover by smell","not smell,miss scent,blocked nose,ignore",odor detected,"scent particles,olfaction,attention,proximity",DETECTING
sniff,"detect smell,snuff in,draw smell,detect odor","miss scent,blocked nose,ignore,not smell",scent detected,"olfaction,curiosity,suspicion,proximity",DETECTING
taste,"perceive flavor,sense,detect taste,experience","tasteless,not taste,miss flavor,numb",flavor detected,"taste receptors,food contact,awareness",DETECTING
feel,"perceive by touch,sense,become aware,experience","not feel,numb,miss,unaware,oblivious",tactile perception,"touch,nerve signals,contact,awareness",DETECTING
hear,"perceive sound,listen,detect with ears,auditory","deaf,miss sound,not hear,silent,ignore",sound perceived,"sound waves,ears,attention,auditory",DETECTING
listen,"try to hear,pay auditory attention,hear carefully","not listen,ignore,deaf,silent,distracted",auditory attention,"attention,intention,sound,effort",DETECTING
sound,"seem,appear by sound,give impression,sound like","silent,quiet,mute,no sound,unspoken",impression given,"acoustic quality,utterance,perception",DETECTING
notice,"observe,see,perceive,become aware,observe","overlook,miss,ignore,neglect,disregard",observation made,"attention,presence,change,awareness",NOTICING
observe,"watch,see,notice,perceive,study","ignore,overlook,miss,neglect,disregard",observation made,"attention,watchfulness,interest,evidence",NOTICING
watch,"observe,see,pay attention,keep eye on,monitor","ignore,overlook,disregard,neglect,miss",observation made,"attention,care,interest,vigilance",NOTICING
look,"direct eyes,see,observe,view,examine","look away,ignore,blind,miss,overlook",visual direction,"intention,eye movement,presence,interest",NOTICING
