Word,Synonyms,Antonyms,Causes,Caused_By,Category,Interconnections
carve,"cut, sculpt, shape, etch","smooth, fill, cover, glue","decorative division, art creation, shape formation","artistic intent, tool use, design creation",CUTTING,3
chop,"cut, hack, sever, divide","join, glue, assemble, unite","rough piece separation, vegetable processing, axe impact","cooking, wood processing, cutting force",CUTTING,2
clip,"cut, snip, trim, sever","connect, join, lengthen, extend","small piece removal, quick cutting, separation","scissors use, clipping intent, quick cut",CUTTING,3
cut,"slice, chop, sever, carve","join, glue, unite, fuse","separation, surface division, injury","sharp tool, cutting intent, force application",CUTTING,13
gash,"slash, cut, wound, injure","heal, close, seal, mend","deep wound creation, violent separation, bleeding","sharp tool, violent impact, accident",CUTTING,1
hack,"cut, chop, slash, sever","join, glue, unite, mend","rough cutting, violent separation, material removal","machete use, rough force, material removal",CUTTING,2
pierce,"puncture, stab, poke, perforate","seal, close, cover, mend","hole creation, membrane penetration, object perforation","sharp object, penetration intent, force application",CUTTING,3
poke,"pierce, prod, jab, thrust","withdraw, retract, seal, cover","light penetration, surface disturbance, attention getting","stick use, finger action, light force",CUTTING,3
puncture,"pierce, poke, perforate, stab","seal, patch, close, repair","hole creation, air release, object damage","sharp object, accident, intentional perforation",CUTTING,2
saw,"cut, slice, sever, divide","join, glue, unite, assemble","tool-based division, plank separation, precise cutting","saw tool, cutting intent, material removal",CUTTING,0
sever,"cut, separate, sunder, divide","join, unite, fuse, connect","complete separation, connection breaking, object division","cutting intent, tool use, separation goal",CUTTING,9
shave,"cut, trim, scrape, pare","grow, keep, maintain, preserve","thin layer removal, smooth surface, hair removal","razor use, grooming, smoothing intent",CUTTING,1
shear,"cut, clip, trim, sever","grow, lengthen, extend, connect","wool removal, hedge shaping, material removal","shears use, sheep shearing, grooming",CUTTING,1
slash,"cut, gash, slit, hack","heal, mend, close, seal","long cut creation, violent damage, surface division","blade use, violent force, slashing motion",CUTTING,2
slice,"cut, carve, sever, divide","join, glue, unite, mend","thin piece separation, clean division, portion creation","knife use, portion intent, cutting skill",CUTTING,2
snip,"clip, cut, trim, sever","join, connect, extend, lengthen","small precise cuts, quick separation, thread removal","scissors use, precision need, quick action",CUTTING,1
split,"sever, divide, cleave, separate","join, unite, fuse, merge","complete separation, two-part division, fracturing","axe use, natural weakness, force application",CUTTING,0
