Word,Synonyms,Antonyms,Causes,Caused_By,Category
eat,"consume, devour, ingest, feed","fast, starve, vomit, abstain","satiation, nutrition, food processing, energy gain","hunger, survival need, pleasure, nutrition desire",EATING
consume,"eat, devour, ingest, take in","save, preserve, conserve, discard","resource depletion, nutritional intake, satiation","need, hunger, consumption intent",EATING
devour,"eat, consume, gulp, gobble","sip slowly, abstain, refuse, starve","rapid consumption, food disappearance, satisfaction","intense hunger, greed, speed",EATING
gobble,"devour, eat quickly, bolt, wolf down","nibble, sip, abstain, chew slowly","rapid food intake, hurried consumption","haste, greed, excessive hunger",EATING
nibble,"pick at, munch, snack, peck","gobble, devour, bolt, feast","small food consumption, tentative eating","mild hunger, testing taste, casual eating",EATING
chew,"masticate, munch, crunch, bite","swallow whole, gulp, bolt, abstain","mechanical food breakdown, saliva mixing, digestion preparation","eating action, jaw movement, food texture",EATING
bite,"nip, snap, chomp, sink teeth","release, spit, avoid, refuse","food separation, mouth closure, eating initiation","appetite, food presence, eating intent",EATING
gnaw,"chew, nibble, munch, bite repeatedly","release, ignore, refuse, abstain","persistent chewing, food material wear, small consumption","sustained hunger, food toughness, animal behavior",EATING
munch,"chew, crunch, bite, nibble","sip, fast, abstain, swallow whole","repeated chewing, sound production, food breakdown","eating action, texture, snacking",EATING
swallow,"gulp, ingest, take down, down","spit out, regurgitate, vomit, refuse","esophageal passage, stomach entry, food movement","eating completion, throat muscles, gravity",EATING
gulp,"swallow quickly, bolt, guzzle, down","sip slowly, chew thoroughly, abstain, spit","rapid swallowing, food descent, speed consumption","haste, large food pieces, difficulty",EATING
feast,"banquet, gorge, dine lavishly, splurge","fast, starve, diet, abstain","large consumption, celebration, indulgence","celebration, abundance, luxury",EATING
gorge,"overeat, stuff, glut, pig out","fast, starve, diet, abstain","excessive consumption, fullness, overindulgence","greed, abundance, compulsion",EATING
graze,"browse, nibble, feed, pasture","fast, refrain, abstain, ignore","continuous feeding, vegetation consumption, satiation","herbivore behavior, available food, sustained eating",EATING
feed,"eat, consume, dine, pasture","fast, starve, abstain, diet","nutrition intake, growth support, survival","hunger, feeding instinct, food availability",EATING
