Word,Synonyms,Antonyms,Causes,Caused_By,Category
continue,"proceed, go on, persist, carry on","stop, cease, interrupt, pause","momentum, persistence, lack of obstacle","intention, momentum, necessity",CONTINUING
proceed,"continue, advance, move forward, go on","stop, retreat, hesitate, pause","forward motion, continuation, progress","intention, momentum, direction",CONTINUING
go on,"continue, proceed, keep going, persist","stop, cease, interrupt, quit","continuation, persistence, momentum","intention, momentum, determination",CONTINUING
carry on,"continue, persist, proceed, maintain","stop, cease, quit, interrupt","persistence, continuation, dedication","determination, obligation, momentum",CONTINUING
keep on,"continue, persist, proceed, go on","stop, cease, pause, interrupt","persistence, continuation, repetition","determination, habit, momentum",CONTINUING
advance,"proceed, progress, move forward, go ahead","retreat, regress, go back, stop","forward movement, progress, advancement","intention, opportunity, ability",CONTINUING
progress,"advance, move forward, develop, improve","regress, decline, retreat, stagnate","forward development, improvement, advancement","effort, time, resources",CONTINUING
persist,"persevere, continue, endure, keep on","quit, surrender, give up, stop","determination, stubbornness, commitment","will, determination, necessity",PERSISTING
persevere,"persist, endure, continue steadily, keep on","surrender, quit, give up, abandon","determination, persistence, commitment","will, determination, purpose",PERSISTING
endure,"persist, last, withstand, bear","surrender, collapse, yield, break","strength, persistence, resilience","resilience, determination, strength",PERSISTING
withstand,"resist, endure, persist, stand firm","surrender, yield, collapse, break","resistance, strength, determination","strength, determination, stability",PERSISTING
last,"endure, persist, remain, survive","expire, end, cease, perish","duration, persistence, stability","durability, time, strength",CONTINUING
survive,"endure, persist, last, remain alive","perish, die, expire, succumb","survival instinct, resilience, strength","resilience, resources, luck",PERSISTING
remain,"stay, persist, last, continue","leave, depart, disappear, vacate","persistence, stability, lack of departure","choice, circumstance, obligation",CONTINUING
stay,"remain, abide, linger, lodge","leave, depart, go, abandon","persistence, residence, stability","choice, circumstance, comfort",CONTINUING
abide,"remain, stay, dwell, persist","leave, depart, vacate, abandon","residence, persistence, dwelling","choice, circumstance, commitment",CONTINUING
dwell,"stay, reside, remain, live","leave, depart, move away, vacate","habitation, residence, residence","choice, circumstance, home",CONTINUING
linger,"stay, remain, delay, dawdle","leave, hurry, depart, rush","delay, slowness, reluctance to leave","reluctance, slowness, indecision",CONTINUING
maintain,"keep, sustain, preserve, support","abandon, neglect, lose, release","preservation, support, continuation","care, effort, intention",CONTINUING
sustain,"maintain, support, uphold, preserve","abandon, neglect, drop, collapse","support, preservation, continuation","care, effort, resources",CONTINUING
uphold,"sustain, support, maintain, preserve","abandon, neglect, drop, violate","support, maintenance, defense","commitment, effort, principle",CONTINUING
preserve,"maintain, keep, protect, conserve","destroy, abandon, neglect, waste","preservation, protection, conservation","care, intention, value",CONTINUING
conserve,"preserve, protect, maintain, save","waste, squander, destroy, abandon","conservation, protection, preservation","care, necessity, responsibility",CONTINUING
keep,"maintain, retain, hold, preserve","lose, release, abandon, discard","retention, holding, preservation","intention, care, possession",CONTINUING
retain,"keep, hold, maintain, preserve","lose, release, abandon, discard","retention, holding, preservation","intention, care, value",CONTINUING
hold,"keep, grasp, maintain, possess","release, let go, drop, abandon","grasping, possession, holding","strength, intention, control",CONTINUING
hang on,"persist, hold tight, endure, continue","let go, surrender, quit, release","persistence, grip, determination","will, determination, fear",PERSISTING
hold fast,"grip tightly, persist, endure, continue","release, let go, surrender, quit","tight grasping, persistence, determination","strength, will, fear",PERSISTING
stick with,"persist with, continue, stay committed, endure","abandon, quit, give up, switch","commitment, loyalty, persistence","determination, loyalty, commitment",PERSISTING
pursue,"continue, chase, follow, keep on","abandon, give up, stop, retreat","chase, continuation, goal pursuit","goal, desire, determination",CONTINUING
follow through,"complete, continue, persist, maintain","abandon, quit, stop, neglect","completion, continuation, follow-up","commitment, determination, responsibility",CONTINUING
follow up,"pursue, continue, check on, maintain","abandon, neglect, stop, ignore","continuation, check-in, follow-up","responsibility, diligence, interest",CONTINUING
persist in,"continue with, maintain, endure, pursue","abandon, stop, quit, give up","determination, continuation, stubbornness","will, determination, stubbornness",PERSISTING
resume,"restart, renew, begin again, recommence","stop, pause, discontinue, interrupt","restarting, continuation after pause","decision, signal, readiness",RESUMING
restart,"resume, begin again, start over, renew","stop, end, pause, discontinue","restarting, beginning anew, renewal","decision, failure, readiness",RESUMING
renew,"resume, restart, refresh, revive","expire, lapse, abandon, discontinue","renewal, refreshment, restarting","decision, expiration, choice",RESUMING
recommence,"resume, restart, begin again, renew","stop, cease, pause, end","restarting, beginning anew, renewal","decision, signal, readiness",RESUMING
