Word,Category,Synonym_Count,Interconnections,Causes,Triggered_By
walk,TERRESTRIAL BIPEDAL,4,3,"arrival, displacement, progression","desire to move, gravity, muscle contraction"
run,TERRESTRIAL BIPEDAL,4,1,"escape, speed increase, fatigue","urgency, fear, exertion"
march,TERRESTRIAL BIPEDAL,4,7,"progress, noise, procession","military command, determined purpose, group movement"
stride,TERRESTRIAL BIPEDAL,4,7,"rapid coverage of distance, confidence display","confidence, long legs, purposeful movement"
amble,TERRESTRIAL BIPEDAL,4,3,"leisure, contemplation, relaxation","lack of urgency, pleasant environment"
stroll,TERRESTRIAL BIPEDAL,4,3,"passage through space, enjoyment","leisure time, pleasant weather, relaxation intent"
limp,TERRESTRIAL BIPEDAL,4,1,"slow progression, pain management, mobility limitation","injury, pain, leg dysfunction"
shuffle,TERRESTRIAL BIPEDAL,4,8,"noise, slow progression, fatigue","tiredness, reluctance, age, ground friction"
gallop,TERRESTRIAL QUADRUPEDAL,4,2,"high speed achievement, escape, distance coverage","urgency, horse gait, maximum effort"
trot,TERRESTRIAL QUADRUPEDAL,4,3,"moderate speed, gait transition","horse intermediate speed, moderate urgency"
canter,TERRESTRIAL QUADRUPEDAL,4,2,"rhythmic movement, speed increase","horse three-beat gait, moderate speed"
prowl,TERRESTRIAL QUADRUPEDAL,4,4,"stealth, predation setup, quiet movement","hunting, stalking, predation intent"
creep,TERRESTRIAL QUADRUPEDAL,4,6,"stealth, slow movement, base contact","sneaking intent, fear, predation"
crawl,TERRESTRIAL QUADRUPEDAL,4,3,"base contact movement, slow progression","body proximity to ground, stealth, infant movement"
dart,TERRESTRIAL QUADRUPEDAL,4,2,"rapid movement, directional change","fear, urgency, evasion"
dash,TERRESTRIAL QUADRUPEDAL,4,6,"rapid movement, escape completion","urgency, fear, competitive spirit"
swim,AQUATIC,4,1,"water displacement, aquatic travel","aquatic environment, limb movement, buoyancy"
dive,AQUATIC,4,5,"downward water movement, depth increase","diving intent, water entry, aerial descent"
float,AQUATIC,4,4,"effortless water movement, buoyancy suspension","buoyancy, water presence, relaxation"
drift,AQUATIC,4,3,"passive movement, current transport","water current, wind, lack of propulsion"
wade,AQUATIC,3,2,"shallow water crossing, water resistance","shallow water presence, shallow crossing intent"
splash,AQUATIC,4,2,"water dispersal, surface turbulence","impact, movement force, water excitement"
paddle,AQUATIC,4,2,"water propulsion, directional movement","hand/paw movement, water presence, propulsion intent"
glide,AQUATIC,4,9,"smooth movement, friction reduction","smooth surface, momentum, reduced friction"
fly,AERIAL,4,2,"airspace displacement, elevation, speed","wings, jet propulsion, lift generation"
soar,AERIAL,4,2,"sustained flight, height maintenance, distance","thermal currents, lift forces, wing power"
hover,AERIAL,4,3,"position maintenance, vertical suspension","hovering flight, rotor power, wind resistance"
flutter,AERIAL,4,1,"rapid oscillation, wing movement","wing action, wind, insect flight"
swoop,AERIAL,4,0,"rapid downward movement, attack execution","predation, diving intent, gravity"
bank,AERIAL,4,0,"directional change, altitude adjustment","flight control, turning intent, aerodynamics"
descend,AERIAL,4,5,"altitude loss, downward movement","gravity, control descent, landing"
ascend,AERIAL,4,3,"altitude gain, height increase","muscle power, lift force, climbing intent"
climb,VERTICAL,4,5,"height gain, elevation increase, rock face progress","muscle power, handholds, climbing intent"
jump,VERTICAL,4,8,"vertical displacement, obstacle clearance","muscle power, urgency, playfulness"
leap,VERTICAL,4,8,"height/distance clearance, grace movement","muscle power, escape intent, agility"
fall,VERTICAL,4,6,"downward motion, gravity action, collision impact","gravity, balance loss, obstacle"
bounce,VERTICAL,4,0,"repeated upward movement, energy dissipation","impact, elasticity, surface rebound"
vault,VERTICAL,4,4,"obstacle clearance, height achievement","gymnastics, muscle power, athletic movement"
drop,VERTICAL,4,2,"downward movement, altitude loss","gravity, release, descent"
spring,VERTICAL,4,9,"quick vertical movement, energy release","muscle contraction, urgency, springy surface"
spin,ROTATIONAL,4,6,"rotational motion, dizziness, centripetal force","muscle rotation, angular momentum, spin intent"
rotate,ROTATIONAL,4,8,"circular motion, angular displacement","axial rotation, torque, rotational force"
turn,ROTATIONAL,4,8,"directional change, rotational displacement","steering, body rotation, path change"
pivot,ROTATIONAL,4,2,"rotational movement around point, direction change","axis rotation, steering, rapid turn"
roll,ROTATIONAL,4,3,"rotating progression, body rotation","gravity, rolling intent, cylindrical shape"
tumble,ROTATIONAL,4,7,"multiple rotations, acrobatic movement","loss of balance, gymnastics, impact"
