Word,Synonyms,Antonyms,Causes,Caused_By,Category
say,"speak,tell,utter,articulate,voice","silence,hush,quiet",information transmission,"thought,intention,voice",VERBAL
tell,"inform,notify,advise,communicate,relate","conceal,withhold,hide",information received,"knowledge,intention,direct address",VERBAL
speak,"talk,converse,address,discourse,articulate","silence,quiet,mute",communication,"intention,language,voice",VERBAL
talk,"converse,speak,discuss,chat,dialogue","silence,listen passively,quiet",conversation,"engagement,interaction,voice",VERBAL
ask,"inquire,question,request,query,interrogate","answer,ignore,dismiss",information sought,"curiosity,need,doubt",VERBAL
answer,"respond,reply,react,acknowledge,respond","ignore,avoid,evade",response given,"question,prompt,query",VERBAL
respond,"reply,answer,react,acknowledge,reciprocate","ignore,neglect,avoid",reaction,"stimulus,question,prompt",VERBAL
discuss,"talk over,debate,converse,deliberate,explore","ignore,avoid,dismiss",mutual understanding,"shared interest,questions,engagement",VERBAL
explain,"clarify,describe,elucidate,expound,interpret","confuse,obscure,conceal",understanding,"knowledge,clarity,intention",VERBAL
describe,"depict,characterize,narrate,recount,portray","abstract,generalize,ignore",detailed account,"observation,knowledge,detail",VERBAL
inform,"tell,notify,advise,apprise,brief","mislead,deceive,conceal",knowledge transfer,"information,authority,knowledge",VERBAL
notify,"inform,tell,advise,alert,announce","ignore,conceal,withhold",awareness,"event,knowledge,obligation",VERBAL
announce,"declare,proclaim,broadcast,publish,report","conceal,hide,suppress",public knowledge,"news,event,decision",VERBAL
declare,"announce,assert,state,profess,proclaim","deny,conceal,retract",official statement,"authority,conviction,position",VERBAL
state,"assert,declare,claim,maintain,express","deny,retract,conceal",formal assertion,"conviction,knowledge,position",VERBAL
report,"describe,narrate,relay,communicate,document","fabricate,distort,hide",account of events,"observation,investigation,fact",INFORMATIVE
mention,"refer to,cite,allude to,note,remark","ignore,overlook,suppress",brief reference,"thought,relevance,memory",INFORMATIVE
request,"ask,petition,appeal,seek,solicitation","refuse,deny,reject",favor asked,"need,politeness,hierarchy",VERBAL
demand,"require,insist,command,claim,compel","grant,give freely,surrender",compliance required,"authority,need,assertion",VERBAL
command,"order,direct,instruct,mandate,rule","obey,comply,submit",obedience required,"authority,urgency,power",VERBAL
order,"command,direct,instruct,require,mandate","obey,comply,follow",compliance demanded,"authority,urgency,hierarchy",VERBAL
instruct,"teach,direct,explain,guide,inform","confuse,mislead,ignore",knowledge/directions given,"expertise,authority,need",INFORMATIVE
direct,"guide,command,instruct,aim,point","follow,obey,comply",path/action specified,"authority,knowledge,intention",VERBAL
urge,"encourage,push,persuade,exhort,entreat","discourage,dissuade,deter",action encouraged,"conviction,urgency,care",PERSUASIVE
encourage,"urge,support,promote,inspire,embolden","discourage,dishearten,demoralize",confidence/action fostered,"belief,support,optimism",PERSUASIVE
plead,"beg,beseech,implore, appeal,entreat","refuse,deny,ignore",earnest appeal,"desperation,emotion,need",PERSUASIVE
beg,"plead,beseech,implore,request earnestly","refuse,deny,ignore",earnest request,"desperation,need,emotion",PERSUASIVE
entreat,"plead,beseech,implore,petition,appeal","refuse,deny,ignore",earnest request,"desperation,emotion,need",PERSUASIVE
agree,"consent,assent,concur,accept,align","disagree,dissent,reject",consensus,"alignment,understanding,willingness",HONEST
consent,"agree,permit,authorize,allow,approve","refuse,deny,withhold",permission granted,"willingness,authority,agreement",HONEST
permit,"allow,authorize,approve,consent,enable","forbid,deny,prevent",allowance,"authority,consent,agreement",HONEST
approve,"endorse,sanction,ratify,accept,authorize","disapprove,reject,condemn",support/validation,"satisfaction,authority,judgment",HONEST
