Word,Synonyms,Antonyms,Causes,Caused_By,Category
wait,"pause,remain,await,bide,stay","proceed,advance,hurry,act,go",pause in action,"expectation,dependency,obligation,patience",WAITING
wait for,"await,expect,remain for,pause for","proceed,hurry,advance,go,abandon",waiting for something,"dependency,expectation,necessity,time",WAITING
await,"wait for,expect,anticipate,remain for,abide","proceed,hurry,advance,ignore,abandon",awaiting expected event,"expectation,anticipation,dependency,patience",WAITING
pause,"stop temporarily,wait,hesitate,cease briefly,halt","continue,proceed,resume,advance,persist",temporary stop,"need for thought,breath,consideration,transition",WAITING
hold,"maintain,grip,detain,keep,pause","release,let go,drop,abandon,continue",held position,"intention,control,force,constraint",WAITING
hold on,"wait,pause,maintain grip,persist,continue","release,abandon,let go,give up,proceed",waiting maintained,"patience,expectation,determination,hope",WAITING
linger,"remain longer,delay,stay,loiter,dawdle","depart,hurry,leave,rush,advance",extended stay,"reluctance,enjoyment,indecision,distraction",WAITING
loiter,"linger,hang about,idle,loaf,dawdle","hurry,proceed,advance,depart,rush",loitering done,"idleness,indecision,distraction,no purpose",WAITING
idle,"loiter,linger,be inactive,remain unproductive","work,labor,strive,action,productivity",idle time,"lack of work,laziness,waiting,distraction",WAITING
loaf,"loiter,idle,linger,waste time,slack off","work,labor,strive,productive activity,busy",loafing done,"laziness,idleness,indifference,time",WAITING
dawdle,"waste time,linger,loiter,delay,idle","hurry,speed up,hasten,proceed,advance",dawdling done,"laziness,indecision,distraction,procrastination",WAITING
tarry,"delay,linger,remain longer,stay,wait","hurry,proceed,advance,depart,rush",delayed departure,"reluctance,enjoyment,indecision,distraction",WAITING
dally,"delay,waste time,flirt,play,dwell","hurry,proceed,focus,serious,advance",dallying done,"indecision,distraction,flirtation,procrastination",WAITING
dilly-dally,"delay,hesitate,waste time,dawdle,vacillate","decide,hurry,proceed,commit,focus",indecision shown,"indecision,hesitation,procrastination,anxiety",WAITING
stall,"delay,hold up,obstruct,procrastinate,pause","advance,proceed,accelerate,overcome,resolve",stalling tactic used,"obstruction,procrastination,time-buying,evasion",WAITING
lollygag,"loiter,linger,idle,dawdle,loaf","hurry,proceed,advance,focus,productive",lollygagging done,"idleness,laziness,distraction,procrastination",WAITING
bide one's time,"wait patiently,wait for opportunity,delay strategically","act hastily,rush,proceed,impulsive,immediate",strategic waiting,"patience,timing,opportunity,strategy",WAITING
cool one's heels,"wait,delay,be kept waiting,cool down,patient","proceed,active,engaged,involved,impatient",waiting done,"patience,cooling anger,waiting period",WAITING
twiddle one's thumbs,"wait idly,pass time,be idle,inactive","active,busy,productive,engaged,working",idle waiting,"lack of activity,impatience,boredom,waiting",WAITING
delay,"postpone,defer,put off,slow,hinder","hurry,advance,accelerate,expedite,proceed",delay caused,"obstruction,procrastination,difficulty,caution",WAITING
delay,"cause lateness,slow progress,impede,hinder","expedite,hurry,hasten,accelerate,quick",action slowed,"obstacle,slowness,obstruction,hindrance",WAITING
postpone,"delay,put off,reschedule,defer,adjourn","proceed,advance,expedite,hasten,immediate",postponement made,"need for delay,new arrangement,decision",WAITING
defer,"delay,postpone,put off,delay decision,yield","decide,proceed,act,advance,immediate",deferral made,"lack of readiness,priority change,strategy",WAITING
put off,"postpone,delay,procrastinate,defer,avoid","proceed,do,complete,act,decide",postponement made,"procrastination,avoidance,difficulty,reluctance",WAITING
hold off on,"delay,avoid,postpone,wait to do,strategic delay","proceed,do,immediate,direct,act",delay practiced,"timing,appropriateness,caution,strategy",WAITING
procrastinate,"delay,postpone,put off,avoid, dally","do,complete,proceed,immediate,action",procrastination exhibited,"avoidance,perfectionism,anxiety,laziness",WAITING
drag one's heels,"delay,drag,procrastinate,resist,slow progress","move forward,cooperate,accelerate,advance",resistance shown,"reluctance,disagreement,passive resistance",WAITING
kick the can down the road,"delay decision,postpone,defer,avoid responsibility","decide,address,resolve,immediate,tackle",avoidance practiced,"procrastination,avoidance,delay strategy",WAITING
shelve,"postpone,put aside,table,delay,defer","resume,return to,pursue,advance,activate",postponement made,"lack of priority,change in focus,time",WAITING
table,"postpone discussion,defer,shelve,delay","resume,return to,pursue,address,immediate",discussion deferred,"lack of readiness,disagreement,time",WAITING
hurry,"move quickly,rush,hasten,speed up,make haste","delay,slow down,linger,wait,dawdle",rapid movement,"urgency,need,pressure,time constraint",HURRYING
hurry up,"speed up,move quickly,accelerate,hasten,rush","slow down,delay,wait,linger,procrastinate",speed increased,"urgency,time pressure,need,impatience",HURRYING
rush,"hurry,move quickly,hasten,dash,speed","delay,slow down,loiter,linger,wait",rapid action,"urgency,pressure,time constraint,emergency",HURRYING
hasten,"hurry,move quickly,rush,speed up,accelerate","slow down,delay,loiter,wait,linger",rapid movement,"urgency,need,haste,pressure",HURRYING
make haste,"hurry,move quickly,speed up,hasten,rush","slow down,delay,wait,linger,procrastinate",haste made,"urgency,pressure,time constraint,emergency",HURRYING
speed up,"accelerate,hurry,move faster,increase pace","slow down,decelerate,decrease pace,reduce speed",pace increased,"need for speed,pressure,urgency,efficiency",HURRYING
accelerate,"increase speed,speed up,move faster,quicken","decelerate,slow down,reduce pace,halt,stop",speed increased,"force,pressure,need,momentum",HURRYING
quicken,"speed up,accelerate,move faster,increase pace","slow down,decrease pace,reduce speed,decelerate",pace quickened,"urgency,momentum,determination,effort",HURRYING
bolt,"run quickly,dash,bolt off,flee,move fast","slow,stop,pause,idle,wait",rapid departure,"fear,urgency,surprise,escape",HURRYING
dash,"run quickly,move fast,bolt,hurry,rush","slow,stop,pause,wait,loiter",rapid movement,"urgency,speed, haste,determination",HURRYING
scurry,"move quickly,hurry,scamper,rush, bustle","slow,stop,pause,idle,wait",hurried movement,"fear,urgency,busy activity,pressure",HURRYING
hustle,"hurry,move quickly,bustle,rush,push","slow,stop,pause,rest,wait",rapid activity,"urgency,activity,pressure,movement",HURRYING
bustle,"move busily,hurry,hustle,rush, active movement","slow,idle,lazy,still,pause",busy movement,"activity,purpose,engagement,movement",HURRYING
tear,"move quickly,rush,hurry,move fast,speed","slow,stop,pause,idle,wait",rapid movement,"urgency,speed,force,momentum",HURRYING
zip,"move quickly,rush,move fast,zoom,dart","slow,stop,pause,loiter,wait",rapid movement,"speed,urgency,momentum,energy",HURRYING
zoom,"move fast,move quickly,speed,rush,dart","slow,stop,pause,idle,wait",rapid movement,"speed,momentum,urgency,force",HURRYING
