Word,Synonyms,Antonyms,Causes,Caused_By,Category
learn,"acquire, study, master, absorb","forget, ignore, unlearn, dismiss","instruction, study, experience, exposure","education, practice, repetition, experience",LEARNING
study,"examine, investigate, learn, research","ignore, neglect, skip, dismiss","intellectual engagement, research, investigation","curiosity, assignment, necessity, interest",LEARNING
acquire,"gain, obtain, learn, develop","lose, surrender, abandon, forget","gaining, obtaining, learning","effort, exposure, practice, resources",LEARNING
absorb,"take in, assimilate, learn, internalize","reject, expel, forget, dismiss","intake, assimilation, learning","exposure, study, repetition, attention",LEARNING
master,"learn thoroughly, excel at, dominate, command","struggle, fail, forget, bungle","intensive study, practice, dedication","effort, practice, talent, repetition",LEARNING
grasp,"understand, comprehend, seize, catch","misunderstand, miss, lose, drop","understanding, intellectual capture","clarity, instruction, intelligence, attention",UNDERSTANDING
comprehend,"understand, grasp, perceive, fathom","misunderstand, miss, confuse, perplex","understanding, perception, intelligence","clarity, instruction, intelligence, analysis",UNDERSTANDING
understand,"comprehend, grasp, perceive, realize","misunderstand, confuse, perplex, befuddle","understanding, perception, knowledge","clarity, explanation, intelligence, analysis",UNDERSTANDING
fathom,"understand, comprehend, grasp, decipher","misunderstand, confuse, puzzle, perplex","deep understanding, penetration","analysis, thought, explanation, intelligence",UNDERSTANDING
perceive,"sense, observe, understand, recognize","ignore, overlook, miss, blindness","sensation, observation, awareness","sensory input, attention, awareness",RECOGNIZING
observe,"notice, see, watch, perceive","ignore, overlook, miss, blindness","careful attention, observation","attention, presence, awareness, vigilance",RECOGNIZING
notice,"observe, see, spot, perceive","ignore, overlook, miss, disregard","attention, observation, distinctiveness","attention, salience, awareness",RECOGNIZING
recognize,"identify, acknowledge, know, discern","ignore, overlook, mistake, fail","familiarity, prior knowledge, identification","memory, previous exposure, pattern matching",RECOGNIZING
identify,"recognize, determine, classify, name","confuse, mistake, misidentify, miss","determination, classification, naming","analysis, observation, knowledge",RECOGNIZING
discern,"distinguish, perceive, detect, observe","confuse, blur, miss, overlook","careful observation, discrimination","keen perception, attention, analysis",RECOGNIZING
distinguish,"differentiate, discern, separate, identify","confuse, blur, mix up, conflate","discrimination, analysis, differentiation","careful observation, knowledge, analysis",RECOGNIZING
detect,"discover, identify, find, uncover","miss, overlook, hide, conceal","discovery, finding, uncovering","observation, investigation, technology",RECOGNIZING
spot,"notice, detect, see, identify","miss, overlook, ignore, hide","visual detection, noticing","attention, visibility, observation",RECOGNIZING
realize,"understand, comprehend, grasp, awaken","misunderstand, ignore, miss, deny","understanding, awareness, enlightenment","thought, reflection, revelation, evidence",UNDERSTANDING
discover,"find, uncover, detect, learn","miss, overlook, hide, conceal","exploration, investigation, finding","exploration, accident, research, curiosity",LEARNING
find,"discover, locate, uncover, detect","miss, lose, hide, search","search, discovery, location","search, chance, investigation, guidance",LEARNING
locate,"find, pinpoint, position, place","lose, misplace, displace, hide","positioning, finding, determination","search, analysis, coordinates, signals",LEARNING
uncover,"discover, reveal, expose, disclose","cover, hide, conceal, suppress","revelation, exposure, discovery","investigation, removal, revelation",LEARNING
know,"understand, be aware, comprehend, recognize","ignore, misunderstand, doubt, question","knowledge, awareness, understanding","experience, learning, memory, certainty",UNDERSTANDING
acknowledge,"recognize, accept, admit, confirm","deny, refuse, reject, ignore","recognition, acceptance, confirmation","evidence, truth, acceptance, honesty",RECOGNIZING
confirm,"verify, validate, affirm, acknowledge","deny, refute, contradict, question","verification, validation, affirmation","evidence, testing, confirmation",UNDERSTANDING
verify,"confirm, validate, check, prove","deny, refute, disprove, question","confirmation, validation, checking","evidence, testing, investigation",UNDERSTANDING
validate,"confirm, verify, authenticate, affirm","invalidate, deny, refute, reject","confirmation, authentication, validation","evidence, authority, testing",UNDERSTANDING
authenticate,"verify, validate, confirm, certify","forge, fake, invalidate, deny","verification, validation, certification","evidence, authority, testing",UNDERSTANDING
infer,"deduce, conclude, gather, surmise","refute, deny, contradict, assume","logical reasoning, deduction","evidence, logic, analysis, observation",UNDERSTANDING
deduce,"infer, conclude, reason, gather","induce, assume, guess, refute","logical reasoning, deduction","evidence, logic, analysis",UNDERSTANDING
conclude,"deduce, infer, gather, determine","refute, deny, contradict, question","reasoning, determination, conclusion","evidence, analysis, logic",UNDERSTANDING
analyze,"examine, investigate, study, dissect","ignore, overlook, skip, synthesize","examination, investigation, study","curiosity, necessity, research",LEARNING
examine,"inspect, study, analyze, investigate","ignore, overlook, skip, dismiss","inspection, study, investigation","curiosity, necessity, protocol",LEARNING
investigate,"examine, study, research, inquire","ignore, overlook, dismiss, stop","inquiry, investigation, research","curiosity, suspicion, necessity, mystery",LEARNING
inquire,"ask, question, investigate, probe","ignore, assume, accept, stop","curiosity, questioning, investigation","curiosity, uncertainty, mystery",LEARNING
probe,"investigate, examine, explore, question","ignore, accept, stop, surface","investigation, exploration, inquiry","curiosity, suspicion, necessity",LEARNING
explore,"investigate, examine, discover, probe","ignore, avoid, surface, stop","investigation, exploration, discovery","curiosity, adventure, research",LEARNING
research,"investigate, study, explore, examine","ignore, overlook, abandon, stop","investigation, inquiry, study","curiosity, necessity, academic pursuit",LEARNING
train,"teach, educate, coach, instruct","neglect, ignore, abandon, untrain","education, instruction, coaching","instruction, practice, repetition",LEARNING
educate,"teach, instruct, train, inform","mislead, ignore, abandon, deceive","teaching, instruction, information","instruction, curriculum, teachers",LEARNING
teach,"instruct, educate, train, coach","learn, mislead, confuse, deceive","instruction, education, communication","expertise, intention, curriculum",LEARNING
instruct,"teach, direct, guide, coach","mislead, confuse, abandon, deceive","instruction, direction, guidance","expertise, authority, intention",LEARNING
coach,"teach, train, guide, mentor","abandon, neglect, hinder, obstruct","training, guidance, mentoring","expertise, care, intention",LEARNING
mentor,"guide, coach, teach, advise","abandon, neglect, mislead, hinder","guidance, mentoring, teaching","expertise, care, relationship",LEARNING
guide,"lead, direct, mentor, teach","mislead, abandon, confuse, obstruct","direction, guidance, leading","expertise, knowledge, intention",LEARNING
practice,"rehearse, drill, train, exercise","abandon, neglect, stop, ignore","skill development, repetition, training","effort, commitment, repetition",LEARNING
rehearse,"practice, drill, repeat, exercise","abandon, ignore, stop, forget","repetition, skill development, preparation","effort, preparation, repetition",LEARNING
drill,"practice, rehearse, repeat, train","abandon, neglect, stop, forget","repetition, skill building, training","discipline, effort, instruction",LEARNING
condition,"train, habituate, accustom, program","uncondition, break habit, reverse, stop","training, habituation, programming","repetition, stimulus response, conditioning",LEARNING
habituate,"accustom, familiarize, condition, train","disabuse, unfamiliarize, reverse, stop","repeated exposure, familiarization","repetition, exposure, time",LEARNING
accustom,"familiarize, habituate, adjust, adapt","alienate, unfamiliarize, reverse, shock","familiarization, adaptation, adjustment","exposure, time, experience",LEARNING
familiarize,"accustom, introduce, teach, inform","alienate, unfamiliarize, estrange, hide","introduction, exposure, teaching","exposure, instruction, experience",LEARNING
exercise,"practice, drill, train, work out","abandon, neglect, rest, stop","skill building, physical practice, training","effort, discipline, commitment",LEARNING
memorize,"commit to memory, learn, remember, retain","forget, abandon, lose, erase","memory encoding, repetition, learning","effort, repetition, intention",REMEMBERING
remember,"recall, recollect, retrieve, retain","forget, lose, suppress, erase","memory retrieval, recall, recognition","memory trace, cue, effort",REMEMBERING
recall,"remember, recollect, retrieve, evoke","forget, lose, suppress, erase","memory retrieval, conscious effort","cue, effort, memory trace",REMEMBERING
recollect,"remember, recall, retrieve, evoke","forget, lose, suppress, erase","memory retrieval, reflection","reflection, effort, memory trace",REMEMBERING
retrieve,"recall, remember, recover, restore","lose, forget, misplace, suppress","memory access, recovery, restoration","search, cue, effort, technology",REMEMBERING
evoke,"recall, bring forth, summon, trigger","suppress, repress, forget, erase","memory triggering, stimulation","trigger, stimulus, association",REMEMBERING
