Word,Synonyms,Antonyms,Causes,Caused_By,Category
create,"make, produce, generate, form","destroy, demolish, erase, undo","object existence, new entity formation, artifact production","creative intent, imagination, resources",CREATING
make,"produce, create, build, construct","break, destroy, disassemble, undo","object production, artifact creation, result formation","creative intent, materials, labor",CREATING
build,"construct, erect, assemble, fabricate","demolish, destroy, tear down, dismantle","structure creation, building completion, spatial occupation","construction intent, materials, labor",CREATING
construct,"build, erect, assemble, fabricate","demolish, destroy, dismantle, tear down","structure formation, building creation, framework establishment","engineering intent, design, materials",CREATING
form,"create, shape, mold, fashion","dissolve, disintegrate, break apart, scatter","shape creation, structural formation, entity existence","pressure, intention, materials",CREATING
produce,"make, create, generate, manufacture","consume, deplete, destroy, waste","object creation, output generation, supply creation","manufacturing intent, resources, labor",CREATING
generate,"produce, create, cause, bring about","prevent, stop, block, suppress","output creation, result production, effect formation","input, force, intention",CREATING
manufacture,"produce, make, fabricate, construct","disassemble, destroy, unmake, dismantle","product creation, mass production, supply","industrial process, machinery, labor",CREATING
craft,"make, create, fashion, construct","unmake, destroy, disassemble, bungle","handmade object, artisanal product, artistic creation","skill, artistic intent, materials",CREATING
forge,"create, make, craft, shape","break, shatter, destroy, unmake","metal object creation, relationship formation, path creation","heat, pressure, intention",CREATING
fashion,"create, make, craft, form","destroy, unmake, disassemble, shatter","garment/object creation, shape formation, design realization","skill, materials, creative intent",CREATING
assemble,"put together, construct, build, combine","disassemble, take apart, separate, scatter","complete object, assembly completion, functional unit","parts availability, instruction, labor",CREATING
fabricate,"make, construct, build, create","demolish, destroy, dismantle, undo","artifact creation, structure formation, invention","intention, materials, skills",CREATING
compose,"create, write, produce, arrange","dismantle, decompose, scatter, destroy","musical/literary work creation, arrangement formation","artistic intent, inspiration, skill",CREATING
concoct,"create, make, devise, invent","destroy, forget, unmake, abandon","mixture creation, scheme formation, plot development","ingredients, intention, creativity",CREATING
devise,"invent, create, design, plan","destroy, discard, abandon, reject","plan creation, strategy formation, invention","problem, need, creativity",CREATING
design,"plan, create, devise, conceive","ignore, dismantle, destroy, discard","blueprint creation, plan formation, aesthetic conception","intention, requirements, creativity",CREATING
invent,"create, devise, conceive, originate","copy, imitate, destroy, forget","new technology, innovation, novelty","problem-solving, creativity, necessity",CREATING
emit,"release, discharge, radiate, give off","absorb, contain, suppress, retain","substance release, radiation output, environmental dispersal","heat, pressure, chemical process",EMITTING
release,"emit, discharge, let go, free","hold, retain, suppress, contain","substance discharge, freedom, output","pressure, intention, command",EMITTING
discharge,"emit, release, expel, eject","retain, contain, hold, suppress","substance output, energy release, function completion","pressure buildup, command, biological process",EMITTING
excrete,"discharge, expel, eliminate, eject","absorb, retain, consume, ingest","waste removal, metabolic output, toxin elimination","biological metabolism, kidney function, digestive process",EMITTING
secrete,"emit, discharge, produce, exude","absorb, retain, consume, suppress","substance release, glandular output, fluid production","gland activation, chemical stimulus, biological need",EMITTING
expel,"discharge, eject, remove, cast out","retain, contain, absorb, intake","object/substance removal, person dismissal, output","force, command, pressure",EMITTING
radiate,"emit, beam, shine, broadcast","absorb, suppress, contain, darken","light/energy emission, heat dispersal, radiation spread","heat, radioactivity, light source",EMITTING
exhale,"breathe out, emit, expel, discharge","inhale, absorb, retain, hold","air release, CO2 output, breath emission","respiration, lungs, biological need",EMITTING
