Word,Synonyms,Antonyms,Causes,Caused_By,Category
cooperate,"collaborate, work together, coordinate, unite","compete, oppose, sabotage, undermine","shared goals, mutual benefit, interdependence","trust, alignment of interests, necessity",COOPERATIVE
collaborate,"cooperate, partner, team up, combine efforts","compete, antagonize, oppose, divide","joint projects, shared missions, complementary skills","common objectives, mutual respect, interdependence",COOPERATIVE
share,"distribute, divide, allocate, contribute","hoard, withhold, monopolize, keep","abundance, generosity, fairness, community spirit","altruism, equity, social norms, necessity",COOPERATIVE
help,"assist, aid, support, facilitate","hinder, obstruct, harm, sabotage","compassion, obligation, reciprocity, capability","empathy, social responsibility, moral duty, request",COOPERATIVE
assist,"help, support, aid, facilitate, enable","hinder, block, obstruct, interfere","competence, willingness, proximity, relationship","request, reciprocal obligation, compassion, moral duty",COOPERATIVE
support,"back, endorse, sustain, champion","oppose, undermine, sabotage, betray","belief in cause, loyalty, reciprocal obligation","shared values, trust, emotional connection, alignment",COOPERATIVE
coordinate,"organize, synchronize, harmonize, align","disorganize, desynchronize, misalign, conflict","complex tasks, multiple actors, efficiency needs","planning, communication, shared objectives, necessity",COOPERATIVE
participate,"engage, join, contribute, take part","abstain, withdraw, exclude, refrain","invitation, interest, obligation, inclusion","desire to belong, social pressure, interest, duty",COOPERATIVE
contribute,"provide, supply, offer, donate","withdraw, withhold, retain, deprive","shared needs, collective goals, fairness","generosity, obligation, reciprocity, capability",COOPERATIVE
partner,"collaborate, team up, unite, ally","separate, oppose, compete, antagonize","complementary skills, mutual benefit, efficiency","strategic alignment, trust, shared interests",COOPERATIVE
enable,"facilitate, empower, support, allow","prevent, disable, obstruct, block","resources, authority, capability, cooperation","trust, shared goals, moral obligation, capability",COOPERATIVE
empower,"enable, strengthen, authorize, facilitate","disable, weaken, restrict, constrain","delegation, trust, shared goals, resources","confidence, shared purpose, moral commitment",COOPERATIVE
unite,"combine, merge, join together, consolidate","divide, separate, split, fragment","common threat, shared goal, efficiency","necessity, mutual interest, leadership, crisis",COOPERATIVE
synergize,"coordinate, collaborate, integrate, harmonize","isolate, separate, antagonize, conflict","complementary efforts, diversity, shared goals","strategic thinking, trust, integration efforts",COOPERATIVE
pool,"combine, consolidate, merge, aggregate","divide, separate, distribute, fragment","resource scarcity, efficiency, strength","necessity, mutual benefit, pragmatism",COOPERATIVE
compete,"contest, rival, vie, race","cooperate, collaborate, assist, support","scarcity, ambition, prizes, status","limited resources, desire for dominance, incentives",COMPETITIVE
rival,"compete, contest, oppose, challenge","cooperate, ally, support, assist","competing interests, ambition, resources","conflicting goals, scarcity, divergent values",COMPETITIVE
contest,"compete, challenge, dispute, challenge","accept, concede, yield, withdraw","disagreement, ambition, scarcity, status","conflicting claims, competitive spirit, belief in success",COMPETITIVE
vie,"compete, contend, strive, race","cooperate, yield, concede, withdraw","desirable goals, limited availability, ambition","aspiration, confidence, scarcity, incentive",COMPETITIVE
outcompete,"surpass, outperform, overcome, defeat","lose to, underperform, succumb, yield","superior resources, strategy, skill","capability, preparation, advantage, determination",COMPETITIVE
outshine,"excel, surpass, outperform, exceed","underperform, pale in comparison, lose out","skill, preparation, opportunity, ability","talent, effort, resources, advantage",COMPETITIVE
contend,"compete, contest, fight, struggle","yield, surrender, cooperate, withdraw","disputes, scarce resources, differing goals","disagreement, ambition, conflicting interests",COMPETITIVE
strive,"struggle, endeavor, attempt, effort","idle, relax, abandon, give up","goals, ambition, desire for success","motivation, aspiration, challenge, determination",COMPETITIVE
struggle,"fight, contend, strive, grapple","yield, surrender, relax, accept","adversity, opposition, difficult goals","determination, refusal to accept, challenge",COMPETITIVE
race,"compete, rush, sprint, dash","cooperate, walk slowly, yield, concede","time pressure, competition, urgency","urgency, competitive spirit, incentive",COMPETITIVE
oppose,"resist, challenge, contest, contradict","support, agree, accept, endorse","disagreement, conflicting interests, moral stance","different values, conflicting goals, principle",COMPETITIVE
challenge,"contest, question, dispute, confront","accept, concede, support, endorse","disagreement, skepticism, ambition, doubt","doubt, differing view, competitive spirit, integrity",COMPETITIVE
overcome,"defeat, conquer, surpass, surmount","succumb, yield, surrender, fall","determination, superior strategy, capability","effort, preparation, strength, advantage",COMPETITIVE
exceed,"surpass, outdo, outperform, eclipse","underperform, fall short, fail, underachieve","capability, effort, advantage, resources","ability, preparation, motivation, skill",COMPETITIVE
emulate,"imitate, mimic, copy, match","originate, innovate, differentiate, diverge","admiration, competition, ambition","respect, desire to match, competitive drive",COMPETITIVE
communicate,"express, convey, transmit, articulate","silence, suppress, conceal, withhold","information sharing, coordination, expression","need to share, intention, stimulus",COMMUNICATIVE
signal,"indicate, convey, gesture, suggest","conceal, obscure, suppress, hide","need for attention, information transfer, intention","stimulus, urgency, intention, coordination",COMMUNICATIVE
speak,"talk, converse, articulate, utter","silence, mute, quiet, withhold","thoughts, emotions, information, expression","need to express, stimulus, conversation partner",COMMUNICATIVE
listen,"hear, attend, heed, pay attention","ignore, disregard, dismiss, tune out","interest, obligation, courtesy, gathering information","respect, curiosity, obligation, engagement",COMMUNICATIVE
converse,"chat, discuss, talk, dialogue","silence, monologue, ignore, dismiss","social bonding, information exchange, relationship building","mutual interest, proximity, social occasion",COMMUNICATIVE
discuss,"debate, converse, deliberate, exchange","silence, monologue, avoid, ignore","problem-solving, decision-making, exploration","need for input, interest, collaborative approach",COMMUNICATIVE
dialogue,"converse, discuss, exchange, interact","monologue, silence, one-way communication, ignore","mutual understanding, problem solving, negotiation","mutual interest, respect, need for exchange",COMMUNICATIVE
express,"articulate, convey, state, voice","suppress, conceal, withhold, silence","thoughts, emotions, opinions, needs","feeling, realization, stimulus, occasion",COMMUNICATIVE
articulate,"express, state, voice, pronounce","mumble, suppress, conceal, stammer","clarity, emphasis, communication need","skill, confidence, importance, urgency",COMMUNICATIVE
narrate,"tell, recount, describe, relate","silence, suppress, omit, withhold","story, events, information, explanation","interest, audience, need to explain, occasion",COMMUNICATIVE
proclaim,"announce, declare, broadcast, publicize","conceal, suppress, whisper, hide","importance, need for visibility, authority","conviction, authority, urgency, occasion",COMMUNICATIVE
announce,"declare, proclaim, broadcast, publicize","conceal, suppress, hide, withhold","information, decisions, events, changes","authority, timing, importance, coordination",COMMUNICATIVE
declare,"announce, proclaim, state, assert","conceal, suppress, deny, retract","position, decision, status, intent","conviction, authority, occasion, necessity",COMMUNICATIVE
inquire,"ask, question, probe, interrogate","assume, presume, ignore, disregard","curiosity, uncertainty, verification, understanding","lack of knowledge, doubt, interest, necessity",COMMUNICATIVE
question,"ask, interrogate, probe, inquire","answer, assume, accept, affirm","doubt, curiosity, clarification, challenge","uncertainty, skepticism, interest, investigation",COMMUNICATIVE
reply,"respond, answer, retort, acknowledge","ignore, silence, disregard, dismiss","question, stimulus, courtesy, obligation","question, expectation, politeness, necessity",COMMUNICATIVE
respond,"reply, answer, react, acknowledge","ignore, silence, disregard, overlook","stimulus, question, situation, prompt","trigger, obligation, courtesy, need",COMMUNICATIVE
persuade,"convince, sway, influence, cajole","dissuade, discourage, repel, alienate","argument, logic, appeal, evidence","belief, evidence, charisma, reasoning",COMMUNICATIVE
convince,"persuade, sway, win over, assure","dissuade, doubt, undermine, question","evidence, logic, appeal, credibility","reasoning, demonstration, credibility, proof",COMMUNICATIVE
teach,"instruct, educate, explain, coach","conceal, mislead, confuse, suppress","knowledge, skill, ability, experience","expertise, intention, obligation, opportunity",COMMUNICATIVE
inform,"tell, notify, advise, apprise","conceal, deceive, mislead, withhold","information, event, decision, news","knowledge, responsibility, courtesy, necessity",COMMUNICATIVE
advise,"counsel, recommend, suggest, guide","mislead, deceive, dissuade, ignore","expertise, concern, obligation, request","knowledge, experience, relationship, request",COMMUNICATIVE
counsel,"advise, guide, recommend, suggest","mislead, ignore, disregard, oppose","wisdom, experience, concern, relationship","expertise, trust, request, responsibility",COMMUNICATIVE
suggest,"propose, recommend, hint, imply","demand, insist, forbid, suppress","idea, option, alternative, possibility","thought, observation, helpfulness, consideration",COMMUNICATIVE
propose,"suggest, put forward, offer, present","withdraw, retract, reject, suppress","idea, solution, action, plan","thought, need, opportunity, intention",COMMUNICATIVE
debate,"discuss, argue, dispute, contest","agree, accept, concede, yield","disagreement, differing views, issue","difference of opinion, interest, principle",COMMUNICATIVE
argue,"contend, maintain, assert, dispute","agree, concede, accept, yield","disagreement, difference, position, claim","belief, disagreement, principle, conviction",COMMUNICATIVE
disclose,"reveal, divulge, expose, uncover","conceal, hide, suppress, withhold","need for transparency, obligation, honesty","necessity, integrity, trust, requirement",COMMUNICATIVE
reveal,"disclose, divulge, expose, uncover","conceal, hide, suppress, cover","truth, surprise, moment, truth","honesty, occasion, necessity, decision",COMMUNICATIVE
fight,"battle, combat, struggle, contend","surrender, yield, peace, reconcile","threat, aggression, defense, competition","anger, self-defense, necessity, provocation",AGGRESSIVE
attack,"assault, strike, assault, strike","defend, protect, retreat, spare","aggression, threat, competition, hostility","anger, hostility, provocation, intent",AGGRESSIVE
assault,"attack, strike, beat, pummel","defend, protect, retreat, spare","aggression, anger, threat, violence","hostility, rage, provocation, intent",AGGRESSIVE
strike,"hit, punch, beat, attack","spare, protect, caress, defend","anger, self-defense, attack, provocation","rage, necessity, response, intent",AGGRESSIVE
punch,"hit, strike, pummel, beat","spare, caress, protect, defend","anger, combat, self-defense, provocation","rage, threat, response, emotion",AGGRESSIVE
kick,"strike, hit, beat, pummel","spare, caress, help, defend","anger, combat, self-defense, aggression","emotion, threat, response, hostility",AGGRESSIVE
