Word,Synonyms,Antonyms,Causes,Caused_By,Category,Interconnections
bank,"tilt, lean, turn, incline","level, straighten, right","directional change, altitude adjustment","flight control, turning intent, aerodynamics",AERIAL,0
flit,"flutter, dart, hop, skip","perch, land, settle","rapid short flight, quick movement","small bird/insect behavior, quick movement",AERIAL,0
flutter,"flap, wave, beat, vibrate","steady, hold, fix","rapid oscillation, wing movement","wing action, wind, insect flight",AERIAL,1
fly,"soar, hover, glide, wing","land, sink, crash","airspace displacement, elevation, speed","wings, jet propulsion, lift generation",AERIAL,2
hover,"float, suspend, hang, poise","land, descend, crash","position maintenance, vertical suspension","hovering flight, rotor power, wind resistance",AERIAL,3
soar,"fly, glide, hover, wing","dive, plummet, crash","sustained flight, height maintenance, distance","thermal currents, lift forces, wing power",AERIAL,2
swoop,"dive, plunge, attack, descend","ascend, climb, rise","rapid downward movement, attack execution","predation, diving intent, gravity",AERIAL,0
breach,"surface, leap, burst, jump","hide, sink, submerge","explosive water exit, height achievement","whale behavior, power, escape intent",AQUATIC,0
dabble,"dip, immerse, splash, paddle","plunge, submerge, drown","light water contact, shallow engagement","casual contact intent, hand/foot immersion",AQUATIC,0
dive,"plunge, submerge, descend, nosedive","surface, ascend, float","downward water movement, depth increase","diving intent, water entry, aerial descent",AQUATIC,5
drift,"float, glide, flow, wander","anchor, fix, hold","passive movement, current transport","water current, wind, lack of propulsion",AQUATIC,3
float,"drift, bob, hover, buoy","sink, plunge, dive","effortless water movement, buoyancy suspension","buoyancy, water presence, relaxation",AQUATIC,4
glide,"slide, drift, float, slip","crash, tumble, stick","smooth movement, friction reduction","smooth surface, momentum, reduced friction",AQUATIC,9
paddle,"swim, row, propel, stir","sink, drift, stop","water propulsion, directional movement","hand/paw movement, water presence, propulsion intent",AQUATIC,2
plunge,"dive, immerse, submerse, submerge","float, surface, rise","water entry, depth achievement","diving intent, force, gravity",AQUATIC,8
propel,"push, thrust, drive, impel","resist, stop, anchor","directional motion, force application","muscle power, external force, propulsion",AQUATIC,1
scuba-dive,"dive, submerge, descend, plunge","surface, float, ascend","underwater exploration, depth access","SCUBA equipment, exploration intent, air supply",AQUATIC,0
sink,"submerge, descend, plunge, immerse","float, rise, surface","depth increase, water submersion","gravity, weight, buoyancy loss",AQUATIC,1
splash,"spatter, spray, thrash, wade","glide, float, drift","water dispersal, surface turbulence","impact, movement force, water excitement",AQUATIC,2
