Word,Synonyms,Antonyms,Causes,Caused_By,Category
grow,"increase, expand, enlarge, develop","shrink, contract, diminish, reduce","size increase, biomass expansion, dimension change","nutrients, time, cell division, growth hormone",SIZE_CHANGE
shrink,"contract, decrease, diminish, reduce","grow, expand, enlarge, increase","size reduction, volume loss, dehydration","heat, drying, pressure release, age",SIZE_CHANGE
expand,"enlarge, swell, dilate, distend","contract, shrink, compress, condense","volume increase, space occupation, dimension growth","heat, pressure, moisture, gas",SIZE_CHANGE
contract,"shrink, compress, reduce, condense","expand, enlarge, swell, dilate","volume decrease, dimension reduction, tightening","cooling, pressure, dehydration, muscle action",SIZE_CHANGE
swell,"expand, enlarge, inflate, puff","deflate, shrink, contract, reduce","size increase, volume expansion, protuberance","fluid accumulation, inflammation, gas, pressure",SIZE_CHANGE
inflate,"fill, expand, swell, pump up","deflate, empty, collapse, puncture","volume expansion, air/gas filling, pressure increase","air pressure, pumping action, gas release",SIZE_CHANGE
deflate,"empty, collapse, reduce, shrink","inflate, fill, expand, pump","volume loss, air escape, pressure decrease","puncture, air release, pressure loss",SIZE_CHANGE
stretch,"extend, elongate, lengthen, pull","compress, contract, shorten, gather","dimension increase, tension increase, deformation","pulling force, tension, weight, heat",SIZE_CHANGE
compress,"squeeze, condense, compact, reduce","expand, extend, inflate, release","volume decrease, density increase, space reduction","pressure application, squeezing, force",SIZE_CHANGE
enlarge,"expand, increase, amplify, magnify","reduce, shrink, diminish, compress","size increase, dimension expansion, scale increase","growth, addition, expansion force",SIZE_CHANGE
diminish,"decrease, shrink, reduce, lessen","grow, expand, increase, magnify","size reduction, amount decrease, loss","consumption, erosion, decay, use",SIZE_CHANGE
dilate,"expand, widen, enlarge, open","constrict, narrow, contract, close","opening expansion, aperture widening, space increase","relaxation, pressure, muscle action",SIZE_CHANGE
constrict,"tighten, narrow, compress, squeeze","dilate, expand, widen, open","opening narrowing, space reduction, tightening","muscle contraction, pressure, cold",SIZE_CHANGE
heat,"warm, increase temperature, cook, scald","cool, chill, freeze, refrigerate","temperature increase, thermal energy, expansion","fire, sun, friction, energy input",TEMPERATURE
cool,"chill, refrigerate, lower temperature, fan","heat, warm, scald, ignite","temperature decrease, heat loss, contraction","air circulation, shade, cold environment, refrigeration",TEMPERATURE
warm,"heat, increase warmth, toast, bake","chill, cool, freeze, refrigerate","moderate temperature increase, comfort, heat","heat source, sun, friction, insulation",TEMPERATURE
chill,"cool, refrigerate, freeze, lower temperature","heat, warm, scald, toast","temperature decrease, coldness, preservation","refrigeration, ice, cold air, winter",TEMPERATURE
freeze,"solidify, ice, congeal, crystallize","thaw, melt, heat, liquefy","solidification, ice formation, temperature critical drop","extreme cold, liquid nitrogen, freezing point",TEMPERATURE
thaw,"melt, defrost, unfreeze, warm","freeze, ice, congeal, solidify","melting, liquid formation, ice disappearance","heat, warming, spring season, sun",TEMPERATURE
boil,"vaporize, bubble, simmer, heat rapidly","condense, cool, freeze, liquefy","vaporization, bubble formation, steam production","heat, reaching boiling point, flame",TEMPERATURE
